Year,Month,average AQI value,max AQI,min AQI
1996,1,34.8387096774,44,25
1996,2,38.4137931034,49,31
1996,3,46.935483871,77,37
1996,4,44.5,87,24
1996,5,55.1612903226,119,24
1996,6,58.5666666667,151,29
1996,7,61.5161290323,140,22
1996,8,66.6451612903,179,23
1996,9,32.6,58,17
1996,10,24.7741935484,57,12
1996,11,23.0333333333,44,6
1996,12,24.1818181818,38,6
1997,1,20.4,32,7
1997,2,27.25,63,11
1997,3,24.4166666667,52,11
1997,4,45.2413793103,108,10
1997,5,53.6129032258,87,28
1997,6,69.6666666667,174,31
1997,7,55.7419354839,169,21
1997,8,52.7741935484,169,18
1997,9,36.0344827586,84,18
1997,10,18.1666666667,46,9
1997,11,31.75,60,10
1997,12,24.2727272727,53,5
1998,1,23.75,55,8
1998,2,38.1818181818,56,18
1998,3,48.0967741935,108,28
1998,4,48.5666666667,105,33
1998,5,70.3870967742,204,31
1998,6,64.2666666667,154,22
1998,7,80.3870967742,206,33
1998,8,63.4193548387,140,24
1998,9,45.9666666667,129,25
1998,10,35.6451612903,77,22
1998,11,32.9333333333,42,23
1998,12,35.4193548387,41,28
1999,1,38.1290322581,44,33
1999,2,41.2307692308,48,33
1999,3,47.2580645161,64,41
1999,4,48.7,64,41
1999,5,52.4516129032,182,28
1999,6,64.8666666667,161,33
1999,7,69.6451612903,206,24
1999,8,58.8387096774,195,17
1999,9,45.2333333333,122,24
1999,10,36.1935483871,48,25
1999,11,31,46,4
1999,12,29.5517241379,40,21
2000,1,31.8666666667,41,23
2000,2,38.5172413793,47,31
2000,3,37.5925925926,48,11
2000,4,43.1,51,32
2000,5,48.3225806452,108,30
2000,6,62.0666666667,119,31
2000,7,53.8709677419,179,23
2000,8,48.2258064516,151,23
2000,9,35.6666666667,80,19
2000,10,31.9032258065,74,14
2000,11,22.6666666667,39,10
2000,12,28.8709677419,33,20
2001,1,29.7741935484,36,22
2001,2,33.0714285714,38,25
2001,3,38.7419354839,45,34
2001,4,43.9666666667,67,31
2001,5,62.2903225806,190,29
2001,6,74.1666666667,202,24
2001,7,56.8064516129,192,25
2001,8,61.9677419355,187,25
2001,9,46.7666666667,161,22
2001,10,44.1290322581,129,22
2001,11,30.6333333333,59,14
2001,12,28.7096774194,43,21
2002,1,29.6129032258,45,11
2002,2,35.7857142857,44,27
2002,3,39.8709677419,48,33
2002,4,45.0666666667,87,37
2002,5,58.7741935484,140,32
2002,6,58.5333333333,182,31
2002,7,61.9032258065,143,27
2002,8,76.3225806452,206,22
2002,9,52,185,21
2002,10,35,80,21
2002,11,32.0666666667,41,24
2002,12,33.935483871,44,24
2003,1,36,45,30
2003,2,38.5714285714,45,32
2003,3,43.7096774194,84,34
2003,4,52.8333333333,112,30
2003,5,45.4838709677,90,32
2003,6,68.5,195,28
2003,7,68.9032258065,164,31
2003,8,46.3548387097,147,23
2003,9,35,45,25
2003,10,36.0322580645,71,22
2003,11,29.5666666667,39,19
2003,12,33.2258064516,41,22
2004,1,30.2580645161,33,24
2004,2,38,47,30
2004,3,43.8709677419,54,36
2004,4,50.4,147,29
2004,5,48.1612903226,105,24
2004,6,51.5333333333,143,31
2004,7,57.5161290323,140,23
2004,8,51.6451612903,133,24
2004,9,33.2333333333,61,16
2004,10,31.0967741935,50,18
2004,11,29.1666666667,35,17
2004,12,30.4838709677,41,17
2005,1,33.1290322581,37,23
2005,2,35.7142857143,42,29
2005,3,43.2580645161,51,38
2005,4,55.1,105,36
2005,5,40.3870967742,58,31
2005,6,69.0666666667,172,19
2005,7,50.0322580645,156,26
2005,8,50.4193548387,143,23
2005,9,41.5,115,19
2005,10,28.935483871,67,16
2005,11,32.3666666667,48,23
2005,12,31.4193548387,53,20
2006,1,31.9677419355,38,12
2006,2,37.5714285714,47,32
2006,3,45.6451612903,133,32
2006,4,48.0666666667,93,37
2006,5,55.5483870968,122,26
2006,6,51.4666666667,150,18
2006,7,67.3225806452,166,25
2006,8,40.5161290323,84,23
2006,9,36.3333333333,61,23
2006,10,30.9677419355,49,18
2006,11,29.7666666667,40,18
2006,12,31,38,21
2007,1,31.8387096774,37,19
2007,2,23.3571428571,43,1
2007,3,41.9677419355,71,33
2007,4,49.6666666667,150,26
2007,5,56.1935483871,143,33
2007,6,51.6,182,22
2007,7,56.3225806452,150,24
2007,8,51.2903225806,172,22
2007,9,45.8333333333,159,23
2007,10,31.6774193548,51,19
2007,11,31.9666666667,44,24
2007,12,32.2258064516,41,24
2008,1,32.935483871,63,14
2008,2,37,49,29
2008,3,40.5161290323,47,1
2008,4,52.4666666667,112,21
2008,5,51.9677419355,90,31
2008,6,51.5,115,31
2008,7,58.935483871,126,29
2008,8,39.3548387097,80,22
2008,9,33.6333333333,67,22
2008,10,29.064516129,39,19
2008,11,29.9666666667,38,19
2008,12,29.7419354839,38,1
2009,1,32.8387096774,37,29
2009,2,36.2857142857,45,31
2009,3,46.7741935484,58,34
2009,4,51.8666666667,115,29
