Year,Month,average AQI value,max AQI,min AQI
1996,1,,,
1996,2,,,
1996,3,,,
1996,4,,,
1996,5,,,
1996,6,,,
1996,7,,,
1996,8,,,
1996,9,,,
1996,10,,,
1996,11,,,
1996,12,,,
1997,1,,,
1997,2,,,
1997,3,,,
1997,4,53.2666666667,101,32
1997,5,59.4516129032,112,38
1997,6,56,115,23
1997,7,72.5806451613,147,20
1997,8,62.9032258065,140,33
1997,9,47.6666666667,108,17
1997,10,40.935483871,105,13
1997,11,,,
1997,12,,,
1998,1,8.4230769231,19,7
1998,2,8,19,7
1998,3,7.7333333333,20,7
1998,4,54.2666666667,119,20
1998,5,66.1290322581,147,22
1998,6,67.3666666667,150,43
1998,7,66.4193548387,136,26
1998,8,49.7741935484,133,21
1998,9,54.1,154,15
1998,10,34.4516129032,49,17
1998,11,7.3103448276,16,7
1998,12,7.6129032258,19,7
1999,1,,,
1999,2,,,
1999,3,,,
1999,4,61.1034482759,112,40
1999,5,64.5161290323,115,31
1999,6,54.4,174,29
1999,7,66.3870967742,129,26
1999,8,67.4838709677,156,18
1999,9,41.0344827586,97,20
1999,10,34,45,19
1999,11,,,
1999,12,,,
2000,1,,,
2000,2,,,
2000,3,,,
2000,4,54.8666666667,108,28
2000,5,91.3870967742,150,35
2000,6,70.8666666667,159,31
2000,7,74.0967741935,143,25
2000,8,52.9285714286,122,19
2000,9,35.8333333333,61,19
2000,10,50.0322580645,143,26
2000,11,,,
2000,12,,,
2001,1,12.0384615385,33,3
2001,2,9.3571428571,50,1
2001,3,6.9310344828,23,0
2001,4,61.6333333333,105,31
2001,5,71.4193548387,129,32
2001,6,60.1,112,6
2001,7,49.1612903226,97,20
2001,8,50.0322580645,108,29
2001,9,48.3,108,21
2001,10,43.5806451613,133,28
2001,11,7.2666666667,16,3
2001,12,6.6451612903,26,3
2002,1,,,
2002,2,,,
2002,3,,,
2002,4,50.0666666667,87,31
2002,5,60.1290322581,164,28
2002,6,67.7037037037,147,19
2002,7,77.6451612903,172,20
2002,8,68.2580645161,154,19
2002,9,46.6333333333,115,19
2002,10,33.4516129032,50,13
2002,11,,,
2002,12,,,
2003,1,,,
2003,2,,,
2003,3,,,
2003,4,58.8333333333,101,35
2003,5,51.6774193548,108,34
2003,6,62.4,177,21
2003,7,43.6,80,23
2003,8,40.0967741935,101,17
2003,9,36.4285714286,58,15
2003,10,41.9666666667,67,18
2003,11,33.3,61,17
2003,12,27,52,13
2004,1,39.2222222222,62,15
2004,2,38.2222222222,61,27
2004,3,39.6,63,29
2004,4,61.1923076923,115,30
2004,5,56.3,126,25
2004,6,49.1,119,28
2004,7,53.4838709677,91,21
2004,8,40.8214285714,75,19
2004,9,38,97,19
2004,10,38.6774193548,92,19
2004,11,40.2,64,22
2004,12,35.75,53,10
2005,1,41.1818181818,72,21
2005,2,41.875,69,23
2005,3,39.875,58,20
2005,4,65.7333333333,154,38
2005,5,60.7096774194,105,29
2005,6,48.6666666667,129,12
2005,7,51.4666666667,108,21
2005,8,45.2903225806,93,19
2005,9,44.4285714286,87,29
2005,10,31.4838709677,77,4
2005,11,37.2222222222,78,12
2005,12,36.4285714286,54,18
2006,1,28.3870967742,52,15
2006,2,30.8214285714,75,18
2006,3,37.3870967742,59,20
2006,4,62,119,30
2006,5,59.0322580645,105,35
2006,6,56.3666666667,90,26
2006,7,59.9677419355,97,28
2006,8,62.1290322581,137,29
2006,9,47.4666666667,73,19
2006,10,42.1935483871,67,20
2006,11,35.724137931,72,1
2006,12,39.064516129,58,19
2007,1,28.0967741935,49,3
2007,2,38.75,57,22
2007,3,41.2903225806,82,9
2007,4,58.3333333333,93,36
2007,5,58.6451612903,129,26
