Year,Month,average AQI value,max AQI,min AQI
1996,1,70.1290322581,126,33
1996,2,41.275862069,71,17
1996,3,56.8709677419,92,25
1996,4,50.2,81,14
1996,5,36.6666666667,102,12
1996,6,29.9333333333,128,8
1996,7,30.2222222222,70,9
1996,8,22.935483871,40,8
1996,9,20.8965517241,43,3
1996,10,50.3548387097,68,28
1996,11,44.1,63,26
1996,12,64.4516129032,123,39
1997,1,51.0967741935,79,24
1997,2,39.1071428571,57,22
1997,3,51.2903225806,87,23
1997,4,53,84,13
1997,5,35.8064516129,61,14
1997,6,30.8214285714,65,3
1997,7,27.9655172414,64,8
1997,8,20.9032258065,44,9
1997,9,24.7586206897,73,10
1997,10,48.5806451613,91,22
1997,11,41.4,64,17
1997,12,47.1290322581,79,20
1998,1,58.9032258065,101,27
1998,2,48.5,69,28
1998,3,45.3548387097,81,16
1998,4,37.8666666667,65,11
1998,5,21.1,55,10
1998,6,14.3571428571,32,6
1998,7,16.3666666667,26,9
1998,8,16.9677419355,31,8
1998,9,21,46,6
1998,10,44.0322580645,70,14
1998,11,47.1,72,25
1998,12,49,87,22
1999,1,42.9677419355,111,8
1999,2,51.7142857143,90,27
1999,3,37.5483870968,68,18
1999,4,37.9310344828,70,15
1999,5,19.5714285714,68,9
1999,6,18.7,29,10
1999,7,25.9523809524,124,8
1999,8,20.1904761905,53,9
1999,9,20.7894736842,43,7
1999,10,37.9677419355,68,16
1999,11,51.0333333333,158,27
1999,12,40.1290322581,84,12
2000,1,40.9032258065,95,11
2000,2,39.3103448276,60,13
2000,3,33.2580645161,58,17
2000,4,43.9,79,19
2000,5,27.9,59,11
2000,6,18.55,34,9
2000,7,16.9523809524,42,7
2000,8,17.35,31,9
2000,9,17.6315789474,37,6
2000,10,35.3548387097,77,15
2000,11,35.4333333333,73,15
2000,12,33.064516129,54,14
2001,1,29.1612903226,75,8
2001,2,41.6071428571,68,22
2001,3,37.4838709677,113,13
2001,4,40,71,13
2001,5,29.0952380952,56,13
2001,6,22.3333333333,38,14
