Year,Month,average AQI value,max AQI,min AQI
1996,1,23.4838709677,41,9
1996,2,29.8620689655,57,11
1996,3,34.0322580645,85,10
1996,4,51.0333333333,119,23
1996,5,65.1612903226,116,23
1996,6,32.3666666667,62,15
1996,7,91.2258064516,180,19
1996,8,90.0322580645,185,27
1996,9,48.9666666667,107,15
1996,10,29.7419354839,72,16
1996,11,24.4,126,6
1996,12,22.7741935484,31,14
1997,1,25.6129032258,59,9
1997,2,30,109,11
1997,3,30.8064516129,40,21
1997,4,35.5,46,19
1997,5,44.6774193548,107,23
1997,6,33.3666666667,76,17
1997,7,41.064516129,96,18
1997,8,45.2258064516,97,17
1997,9,22.4,62,6
1997,10,15.2580645161,34,4
1997,11,22.7,34,7
1997,12,23.5806451613,35,11
1998,1,22.7741935484,31,14
1998,2,23.5714285714,37,12
1998,3,26.0967741935,35,14
1998,4,35.2666666667,54,26
1998,5,32.1935483871,51,17
1998,6,25.2222222222,55,16
1998,7,21.8387096774,54,10
1998,8,23.6774193548,47,14
1998,9,26.0333333333,37,17
1998,10,20.6451612903,43,9
1998,11,20.6333333333,32,6
1998,12,23.7741935484,34,3
1999,1,20.8709677419,37,6
1999,2,29.3703703704,36,0
1999,3,30,39,10
1999,4,35.4666666667,52,29
1999,5,33.064516129,41,15
1999,6,22.7666666667,41,15
1999,7,20.6451612903,43,12
1999,8,20.6451612903,40,10
1999,9,28.7,52,17
1999,10,26.8333333333,69,3
1999,11,25.2666666667,71,9
1999,12,22.9032258065,62,4
2000,1,28.6451612903,68,7
2000,2,29.2413793103,96,11
2000,3,31.1290322581,58,19
2000,4,34.3448275862,64,20
2000,5,32.2903225806,42,20
2000,6,27.2333333333,47,16
2000,7,20.9677419355,50,14
2000,8,19.1935483871,34,14
2000,9,23.1666666667,48,14
2000,10,25.1290322581,59,10
2000,11,32.8666666667,78,6
2000,12,36.5714285714,62,7
2001,1,25.7741935484,62,1
2001,2,30.4814814815,83,16
2001,3,32.2580645161,40,19
2001,4,36.3,52,23
2001,5,32.5806451613,47,6
2001,6,28.2666666667,35,23
2001,7,22.5806451613,30,15
2001,8,20.0322580645,40,13
2001,9,21.4482758621,36,10
2001,10,25.064516129,34,9
2001,11,20.2666666667,29,9
2001,12,22.8387096774,36,1
2002,1,25.0967741935,36,11
2002,2,26.7857142857,38,18
2002,3,23.3870967742,37,3
2002,4,24.6333333333,32,14
2002,5,20.5806451613,29,12
2002,6,17.1333333333,38,7
2002,7,14.4193548387,28,6
2002,8,13.9677419355,24,6
2002,9,13.1,23,6
2002,10,48.1612903226,83,22
2002,11,65.1,102,43
2002,12,55.1290322581,84,27
2003,1,57.3870967742,80,34
2003,2,53.8928571429,79,29
2003,3,38.9032258065,71,17
2003,4,35.8666666667,54,20
2003,5,35.3225806452,46,30
2003,6,30.9,44,18
2003,7,23.7419354839,39,15
2003,8,26.9032258065,53,13
2003,9,23.8,49,12
2003,10,29.2903225806,51,10
2003,11,43.9333333333,76,19
2003,12,49.0322580645,71,24
2004,1,49.5161290323,76,13
2004,2,44.1724137931,68,25
2004,3,33.6129032258,62,13
2004,4,29.8666666667,46,13
2004,5,27.8064516129,48,12
2004,6,29.8,47,19
2004,7,25.3548387097,45,17
2004,8,22.2258064516,39,14
2004,9,30.8666666667,61,18
2004,10,35.935483871,64,23
2004,11,50.2666666667,73,30
2004,12,45.7419354839,61,24
2005,1,47.8709677419,77,12
2005,2,53.7857142857,111,11
2005,3,37.7741935484,60,15
2005,4,24.2333333333,35,14
2005,5,32.8709677419,74,16
2005,6,17.0666666667,25,11
2005,7,27.7741935484,49,14
2005,8,29.2903225806,50,16
2005,9,27.9,35,21
2005,10,42.0322580645,58,26
2005,11,47.6333333333,69,24
2005,12,64.1290322581,94,33
2006,1,52.3870967742,82,12
2006,2,51.1785714286,83,17
2006,3,52.1612903226,72,29
2006,4,37,66,16
2006,5,30.3548387097,45,14
2006,6,35.3333333333,55,22
2006,7,27.1612903226,43,18
2006,8,30.1290322581,49,19
2006,9,30.9666666667,52,23
2006,10,45.3870967742,65,32
2006,11,52.7,81,33
2006,12,70.4666666667,116,35
2007,1,32.1935483871,98,4
2007,2,59,105,37
2007,3,47.6129032258,74,36
2007,4,42.9,60,34
2007,5,41.4838709677,51,27
2007,6,24.2333333333,41,12
2007,7,24.1290322581,46,18
2007,8,26.2903225806,41,16
2007,9,34,54,23
2007,10,39.0967741935,62,23
2007,11,54.0357142857,76,35
2007,12,47.3870967742,81,35
2008,1,50.4516129032,80,25
2008,2,43.8620689655,61,34
2008,3,41.935483871,52,24
2008,4,43.6666666667,61,20
2008,5,38.5483870968,46,23
2008,6,31.9666666667,41,24
2008,7,32.2258064516,54,21
2008,8,35.5483870968,97,18
2008,9,36.5333333333,47,23
2008,10,45.064516129,74,26
2008,11,46.9,73,31
2008,12,54.064516129,84,31
2009,1,50.7741935484,87,27
2009,2,51.6071428571,67,35
2009,3,42.8064516129,53,37
2009,4,43.9,71,36
2009,5,37.935483871,51,20
2009,6,33.1,67,22
2009,7,28.4516129032,57,13
2009,8,31.8709677419,56,21
2009,9,32.3666666667,48,24
2009,10,33.6774193548,52,23
2009,11,42.4137931034,54,28
2009,12,43.2580645161,61,28
2010,1,39.5806451613,46,26
2010,2,40.6071428571,56,28
2010,3,41.0322580645,49,34
2010,4,38.8666666667,45,14
2010,5,36.3225806452,44,30
2010,6,29.3333333333,39,22
2010,7,31.5161290323,45,21
2010,8,32.5161290323,54,20
2010,9,30.5,67,19
2010,10,36.4193548387,57,31
2010,11,36.7666666667,55,26
2010,12,36.5483870968,58,21
2011,1,40.4193548387,57,28
2011,2,40.5714285714,51,28
2011,3,43.1290322581,61,28
2011,4,39.4,47,10
2011,5,40.3225806452,51,17
2011,6,30.7333333333,40,23
2011,7,23.0322580645,35,14
2011,8,28.1612903226,44,17
2011,9,39,64,29
2011,10,38.7096774194,56,28
2011,11,47.5333333333,76,34
2011,12,52.0322580645,70,19
2012,1,46.4516129032,63,33
2012,2,45.6551724138,72,34
2012,3,37.2258064516,48,18
2012,4,39.8,47,23
2012,5,37.5161290323,74,14
2012,6,30.3666666667,44,19
2012,7,26.1290322581,55,16
2012,8,29.6774193548,48,17
2012,9,27.1333333333,54,13
2012,10,41.3225806452,81,20
2012,11,50.7,79,35
2012,12,48.935483871,71,28
2013,1,54.1612903226,83,37
2013,2,40.2142857143,57,26
2013,3,39.9677419355,45,33
2013,4,40.7,48,33
2013,5,36.3870967742,50,15
2013,6,25.9333333333,33,20
2013,7,22.4193548387,42,15
2013,8,24.7741935484,40,18
2013,9,19.2,35,11
2013,10,32.1935483871,74,14
2013,11,45.6333333333,77,30
2013,12,45.935483871,60,34
2014,1,41,56,19
2014,2,38.2857142857,53,25
2014,3,39.6774193548,44,19
2014,4,42.8,51,22
2014,5,38.3870967742,84,24
2014,6,21.8666666667,52,9
2014,7,19.2258064516,31,10
2014,8,31.1612903226,54,19
2014,9,32.9,54,24
2014,10,38.5806451613,58,21
2014,11,52.2333333333,85,24
2014,12,51.7096774194,101,30
2015,1,48.5483870968,71,30
2015,2,44.7857142857,65,31
2015,3,44.2903225806,71,8
2015,4,42.3214285714,58,34
2015,5,36.064516129,47,23
2015,6,32.1333333333,44,24
2015,7,34,77,19
2015,8,29.3548387097,48,19
2015,9,29.1,40,13
2015,10,42.7096774194,62,29
2015,11,37.5,56,15
2015,12,38.1935483871,56,15
2016,1,49.7419354839,69,36
2016,2,44.1724137931,64,31
2016,3,40.5483870968,48,27
2016,4,42.1333333333,58,34
