Year,Month,average AQI value,max AQI,min AQI
1996,1,37.0967741935,62,18
1996,2,35.8965517241,61,11
1996,3,51.2258064516,100,28
1996,4,61.5,143,26
1996,5,29.1612903226,58,19
1996,6,37.4,129,19
1996,7,28.6451612903,101,18
1996,8,25.064516129,35,16
1996,9,42.8,169,18
1996,10,50.9032258065,151,20
1996,11,38.3,75,19
1996,12,35.064516129,70,7
1997,1,32.8387096774,55,19
1997,2,36.3928571429,67,20
1997,3,39.2666666667,71,24
1997,4,55.2666666667,101,27
1997,5,40.3870967742,87,15
1997,6,43.8333333333,140,17
1997,7,26.9677419355,62,17
1997,8,36.7096774194,101,17
1997,9,55.0666666667,154,22
1997,10,41.064516129,122,21
1997,11,35.5333333333,60,10
1997,12,37.064516129,86,22
1998,1,36.3870967742,62,17
1998,2,46.0714285714,105,26
1998,3,47.935483871,103,29
1998,4,78.1,182,1
1998,5,52.0967741935,151,22
1998,6,26.9666666667,61,16
1998,7,24.8709677419,74,15
1998,8,36.2903225806,115,17
1998,9,50.8333333333,140,11
1998,10,46.6774193548,151,16
1998,11,29.0666666667,49,7
1998,12,42.7096774194,109,19
1999,1,41.7741935484,189,22
1999,2,40.1071428571,77,19
1999,3,44.2580645161,87,23
1999,4,41.3666666667,93,21
1999,5,48.3225806452,119,21
1999,6,33.0666666667,119,16
1999,7,22.7096774194,49,13
1999,8,44,126,18
1999,9,70.5,159,6
1999,10,63.8387096774,164,21
1999,11,56.3333333333,151,23
1999,12,40.7419354839,72,22
2000,1,39.0967741935,84,19
2000,2,43.5517241379,100,21
2000,3,45,105,24
2000,4,54.7,143,18
2000,5,41.0967741935,93,15
2000,6,38.2666666667,150,14
2000,7,32.8709677419,89,18
2000,8,39.3225806452,90,19
2000,9,67.7666666667,161,15
2000,10,36.2580645161,100,18
2000,11,40.3333333333,81,21
2000,12,45.3870967742,105,31
2001,1,44.2258064516,97,20
2001,2,42.2142857143,95,17
2001,3,58.7741935484,128,17
2001,4,55.8666666667,122,22
2001,5,39.935483871,105,20
2001,6,37.8666666667,90,18
2001,7,32.1935483871,69,17
2001,8,40.2903225806,122,17
2001,9,53.8333333333,151,15
2001,10,48.4193548387,112,21
2001,11,55.3666666667,169,19
2001,12,41.5483870968,112,21
2002,1,41.1935483871,105,22
2002,2,47.7857142857,77,30
2002,3,43.935483871,102,19
