CalendarYear,Statistics-1-Acres
1997,0.1
1997,0.1
1997,0.1
1997,0.1
1997,0.1
1997,0.1
1997,0.2
1997,0.1
1997,0.1
1997,0.1
1998,0.1
1998,0.2
1999,25
2000,1
2001,20.2
2001,13
2001,0.1
2001,0.1
2001,0.1
2001,1
2001,0.1
2001,0.1
2001,1
2001,0.1
2001,0.1
2002,0.1
2002,1
2002,0.1
2002,0.1
2002,0.1
2003,124
2003,0.5
2003,0.2
2004,0.5
2004,0.1
2004,0.1
2004,2.5
2004,0.8
2005,0.1
2005,0.1
2005,0.1
2007,0.1
2009,0.1
2010,0.1
2011,0.1
2011,0.1
2013,0.1
2013,0.1
2014,0.1
2014,0.1
2014,0.1
2015,0.1
2015,0.1
2015,0.1
2015,0.1
2016,2.1
2016,2
2016,0.3
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
2016,0.1
