CalendarYear,FireName,IndexTime,Statistics-1-Acres
1997,FUGITIVE,4/25/97 11:30,0.1
1997,B30,5/18/97 14:50,0.1
1997,LIGHTHOUSE,6/13/97 16:30,109
1997,KAMP,8/2/97 12:40,0.1
1997,OCEANVIEW,8/3/97 16:00,0.3
1997,FAX,8/6/97 17:20,0.1
1997,RUNBOAT,10/20/97 23:30,0.1
1998,WELDER,1/2/98 15:15,0.1
1998,WIRE,5/7/98 20:30,13.2
1998,SOFA,6/10/98 16:30,0.1
1998,CAPE POINT,7/4/98 22:00,0.2
1998,MAZDA,7/29/98 18:45,0.1
1998,NICHOLS,8/8/98 23:45,0.1
1999,INTERDUNE,7/18/99 00:50,0.2
2000,POLE,5/19/00 14:10,145
2000,OLD NAG,8/15/00 16:15,0.5
2001,JUVENILE,7/21/01 20:45,0.1
2001,GARBAGE,8/13/01 12:30,0.4
2001,AVON,11/6/01 01:00,0.1
2001,FORA,11/3/01 18:00,0.1
2003,WAVES1,4/17/03 16:30,0.1
2003,RAMP4,7/18/03 20:05,6
2003,RAMP38,8/5/03 20:45,0.1
2003,C LOOP,8/21/03 19:40,0.1
2003,AVON,9/30/03 21:20,0.1
2004,POLE/OCRA,3/19/04 14:15,1.4
2004,OCRA2,6/20/04 17:15,0.2
2004,AVON1,7/3/04 22:30,0.1
2004,AVON2,7/21/04 23:00,0.3
2005,Coastie,8/28/05 14:15,0.2
2007,Sunday Ramp 30 Fire,4/22/07 13:30,1
2007,Bluebeard Fire,7/4/07 20:51,0.5
2007,4th Hatteras Ramp 55,7/4/07 23:45,1
2007,4th Airport Ramp 70,7/4/07 21:30,0.5
2007,Lost Colony Fire,9/10/07 23:45,2
2008,Ramp 4 Car,7/4/08 17:00,1
2008,Avon Pier,7/4/08 21:00,3.5
2008,Camp Ground,7/5/08 01:00,0.5
2008,Parasail Fire,8/2/08 17:00,2
2008,John 1,9/20/08 11:20,0.5
2008,John 2,9/20/08 11:59,0.5
2008,John 3,9/20/08 13:10,0.5
2008,John 4,9/20/08 14:20,0.5
2008,Fee Booth Fire,10/23/08 03:50,1
2009,Bodie Island Fire,2/17/09 15:35,30
2009,Gate,6/29/09 15:00,0.1
2009,Prong Rd,6/11/09 23:00,0.4
2011,West Landing,3/5/11 17:06,0.1
2011,Mike Marker 22,3/13/11 14:37,0.1
2011,Ramp 2,7/2/11 08:15,0.1
2011,White House,7/2/11 21:15,0.1
2011,Red House,7/2/11 21:00,0.1
2011,Ramp 30,7/2/11 20:31,0.1
2011,Blue House,7/2/11 20:49,0.1
2011,Yellow House,7/2/11 20:57,0.1
2011,Pink House,7/2/11 21:22,0.1
2011,Green House,7/2/11 21:44,0.1
2011,Brown House,7/2/11 22:02,0.1
2011,Ramp 34,7/2/11 22:27,0.1
2011,Ramp 23,7/2/11 22:40,0.1
2011,Waves Campground,7/3/11 21:14,0.1
2011,Waves Again,7/3/11 21:44,0.1
2011,Ramp 23 South,7/3/11 22:10,0.1
2011,Teal House,7/3/11 23:10,0.1
2011,Kinnakeet,7/4/11 21:05,0.1
2011,Farrow,7/4/11 21:32,0.1
2011,Frisco,7/4/11 22:14,0.1
2011,Rodanthe Pier,7/4/11 23:00,0.1
2011,KOA,7/5/11 21:25,0.1
2011,Ships Mast,7/5/11 21:50,0.1
2011,Coquina Beach,7/6/11 21:45,0.1
2011,High Deck,7/8/11 21:05,0.1
2011,North End,7/9/11 21:17,0.1
2011,Askin's Creek,7/9/11 21:37,0.1
2011,Hot Dog,7/11/11 19:42,0.1
2011,Marshmallow,7/11/11 22:30,0.1
2011,Fishy,7/11/11 21:43,0.1
2011,Ocean Mist,7/12/11 20:32,0.1
2011,Tie Dye,7/12/11 20:55,0.1
2011,Churchview,7/13/11 20:22,0.1
2011,Jive Turkey,7/13/11 20:34,0.1
2011,Reggae,7/13/11 21:25,0.1
2013,MAKO,6/27/13 15:35,0.1
2014,Little Kinnakeet,5/26/14 19:55,0.2
2015,Little Kinneket,6/12/15 23:00,15.7
2016,Shark WF,1/12/16 18:55,0.8
