DATE,EMNT,EMXT,TAVG,TMAX,TMIN
1997.0833333333333,19,65,45.7,52,39.3
1997.1666666666667,28,71,49.4,56,42.8
1997.25,35,72,54.9,62.6,47.2
1997.3333333333333,32,72,56.8,64.3,49.3
1997.4166666666667,52,79,65.7,71.6,60
1997.5,52,87,70.2,76.6,63.8
1997.5833333333333,65,87,78.1,83.5,72.7
1997.6666666666667,64,88,77,83,71
1997.75,54,87,74.2,79.9,68.5
1997.8333333333333,39,84,65.7,72.7,58.7
1997.9166666666667,30,73,54.6,61.1,48.2
1998.0,31,64,47.7,53.2,42.2
1998.0833333333333,26,68,49.2,55.3,43.1
1998.1666666666667,39,62,49.6,54.2,45
1998.25,29,71,51,57,45.1
1998.3333333333333,38,73,58.8,64.9,52.7
1998.4166666666667,47,84,66.3,72.7,59.9
1998.5,62,90,77.3,83.2,71.3
1998.5833333333333,66,88,79.5,85.1,73.8
1998.6666666666667,62,89,79.4,84.6,74.2
1998.75,59,85,75.4,81.4,69.4
1998.8333333333333,45,81,65.5,72.4,58.7
1998.9166666666667,40,74,57.6,64.5,50.7
1999.0,29,74,54.2,60.3,48
1999.0833333333333,27,73,50.5,58.6,42.5
1999.1666666666667,30,68,47.3,54.4,40.2
1999.25,34,68,49.4,56.7,42
1999.3333333333333,46,73,60.7,67,54.3
1999.4166666666667,50,83,66.2,72.4,59.9
1999.5,66,86,75.5,80.4,70.6
1999.5833333333333,71,93,81.4,86.6,76.2
1999.6666666666667,66,91,80.3,85.6,75
1999.75,58,85,74.1,79.3,69
1999.8333333333333,45,82,66.8,72.9,60.7
1999.9166666666667,37,76,59.3,66.2,52.3
2000.0,30,71,50.4,57.1,43.7
2000.0833333333333,26,71,45.1,51.7,38.4
2000.1666666666667,25,72,48.2,56.9,39.5
2000.25,38,75,55.6,62.7,48.4
2000.3333333333333,44,75,59.9,66.6,53.3
2000.4166666666667,49,82,69.5,75.2,63.9
2000.5,51,86,76,81.9,70.1
2000.5833333333333,64,87,77.7,83.8,71.6
2000.6666666666667,67,88,77.5,83.2,71.8
2000.75,61,87,75.2,80.5,69.9
2000.8333333333333,46,81,63.8,70.7,56.9
2000.9166666666667,31,73,53.4,59.4,47.3
2001.0,27,69,43.9,49.7,38.2
2001.0833333333333,20,66,43.9,50.4,37.4
2001.1666666666667,30,67,48.6,55.7,41.6
2001.25,28,70,50.1,57.9,42.2
2001.3333333333333,36,75,59.1,66.5,51.7
2001.4166666666667,48,81,67,74.5,59.6
2001.5,65,89,76.5,82.3,70.7
2001.5833333333333,61,87,77.4,83.2,71.7
2001.6666666666667,65,88,79.1,84.4,73.9
2001.75,57,88,73.1,78.9,67.4
2001.8333333333333,42,80,64.7,71.5,57.9
2001.9166666666667,36,77,60.8,67.5,54
2002.0,31,74,56.2,62.8,49.5
2002.0833333333333,32,69,49.9,56.9,42.8
2002.1666666666667,29,71,49.6,56.8,42.4
2002.25,30,74,56.6,63.4,49.8
2002.3333333333333,42,82,64,70.3,57.7
2002.4166666666667,47,83,68.9,75.4,62.3
2002.5,59,87,76.4,82.1,70.8
2002.5833333333333,64,92,80.2,85.7,74.6
2002.6666666666667,68,92,80,85.8,74.3
2002.75,61,87,76.7,81.9,71.4
2002.8333333333333,46,86,68.7,73.9,63.4
2002.9166666666667,39,76,56,62.7,49.3
2003.0,28,67,48.3,54.8,41.7
2003.0833333333333,18,68,43.1,51.1,35
2003.1666666666667,29,65,46.8,54.2,39.5
2003.25,35,74,55.1,62.5,47.7
2003.3333333333333,46,75,59.7,65.6,53.7
2003.4166666666667,51,82,68,73.4,62.7
2003.5,59,90,75.5,80.9,70.1
2003.5833333333333,69,90,78.4,82.9,73.8
2003.6666666666667,62,87,78.1,83.1,73.1
2003.75,60,87,74.8,79.6,69.9
2003.8333333333333,46,79,65.4,71.6,59.1
2003.9166666666667,40,81,62.1,68.3,56
2004.0,29,68,47.9,54.8,41
2004.0833333333333,25,69,42.7,49.2,36.1
2004.1666666666667,29,66,45.4,51.4,39.3
2004.25,27,70,50.4,57.8,43
2004.3333333333333,36,78,60.9,67.5,54.3
2004.4166666666667,49,86,72.3,78,66.6
2004.5,66,88,77.8,83.5,72.1
2004.5833333333333,68,90,80.7,86.4,75
2004.6666666666667,60,90,78,83.9,72
2004.75,63,85,75.5,80.3,70.7
2004.8333333333333,56,81,67.5,72.5,62.4
2004.9166666666667,44,77,59,65.6,52.4
2005.0,24,72,51.9,59.2,44.6
2005.0833333333333,21,69,46.3,52.4,40.2
2005.1666666666667,27,63,44.5,50.5,38.4
2005.25,31,67,48.5,55.3,41.8
2005.3333333333333,38,74,57.1,63,51.2
2005.4166666666667,48,78,63,69.8,56.2
2005.5,61,86,75.2,80,70.4
2005.5833333333333,71,90,80.5,85.8,75.1
2005.6666666666667,67,91,82.2,88,76.4
2005.75,67,88,78,83,72.9
2005.8333333333333,46,84,67.2,72.5,61.9
2005.9166666666667,40,75,59.7,66.6,52.8
2006.0,32,67,47.4,54.3,40.4
2006.0833333333333,27,67,50.7,57.3,44
2006.1666666666667,30,67,46.1,53.1,39.2
2006.25,31,71,50.3,56.7,43.9
2006.3333333333333,44,76,60.7,67.3,54.1
2006.4166666666667,49,83,66,71.9,60
2006.5,57,88,75.3,80.9,69.6
2006.5833333333333,66,90,79.9,85.2,74.6
2006.6666666666667,59,90,80.4,86.5,74.4
2006.75,55,85,72.8,78.3,67.2
2006.8333333333333,42,81,65,72.2,57.7
2006.9166666666667,45,75,59,65.1,52.9
2007.0,30,70,53.6,60.8,46.3
2007.0833333333333,26,70,50.8,57.6,44
2007.1666666666667,24,69,43.4,51.3,35.5
2007.25,34,75,54.3,62.3,46.3
2007.3333333333333,36,79,58.4,65.3,51.5
2007.4166666666667,50,85,67.7,74.5,60.8
2007.5,61,89,75.5,81.5,69.6
2007.5833333333333,64,89,78.9,84.6,73.3
2007.6666666666667,65,91,80.9,87,74.8
2007.75,66,87,76.7,82.2,71.3
2007.8333333333333,53,85,72.9,78.9,66.9
2007.9166666666667,43,75,56.9,63.6,50.2
2008.0,35,72,53.7,61.1,46.3
2008.0833333333333,23,70,46.5,53,40
2008.1666666666667,28,64,50.1,57.4,42.8
2008.25,38,68,55,61.4,48.6
2008.3333333333333,44,73,59.5,65.2,53.7
2008.4166666666667,44,77,64.8,72.2,57.5
2008.5,54,88,76.9,82.7,71.1
2008.5833333333333,71,90,80.4,85.4,75.3
2008.6666666666667,68,90,79.4,85.2,73.5
2008.75,63,88,77,82.1,71.9
2008.8333333333333,41,81,64,70.6,57.3
2008.9166666666667,30,71,53.4,59.9,46.9
2009.0,31,71,53.3,60.7,45.8
2009.0833333333333,24,70,43.9,50.6,37.3
2009.1666666666667,22,65,45.6,53,38.3
2009.25,23,71,49.5,55.3,43.6
2009.3333333333333,39,78,61.2,67.5,54.9
2009.4166666666667,50,82,69.6,75,64.3
2009.5,62,89,76.2,82.5,69.9
2009.5833333333333,60,88,78.2,83.7,72.6
2009.6666666666667,69,89,80.1,85.4,74.7
2009.75,57,86,74.4,79.4,69.3
2009.8333333333333,43,83,65.5,71.9,59.1
2009.9166666666667,38,74,58.6,64.2,53
2010.0,28,73,48.7,55.5,41.9
2010.0833333333333,22,61,39.6,46.3,32.8
2010.1666666666667,23,60,39.6,46.4,32.7
2010.25,28,68,50.3,57.2,43.3
2010.3333333333333,40,73,59.6,67.3,52
2010.4166666666667,47,81,68.8,74.9,62.7
2010.5,59,89,77.7,83.6,71.8
2010.5833333333333,58,94,78,83.6,72.5
2010.6666666666667,63,89,79.2,85.9,72.5
2010.75,61,89,75.9,82.4,69.3
2010.8333333333333,45,80,67.7,74.2,61.2
2010.9166666666667,38,73,57.1,64,50.2
2011.0,26,70,40.5,46.5,34.5
2011.0833333333333,23,61,42,49.3,34.8
2011.1666666666667,32,68,50,56.8,43.2
2011.25,38,75,54.7,61.1,48.3
2011.3333333333333,48,81,66.6,72.9,60.3
2011.4166666666667,52,91,71.8,78.5,65.1
2011.5,58,93,80.3,86.8,73.7
2011.5833333333333,68,94,82.2,87.5,76.9
2011.6666666666667,72,92,81.9,87.9,76
2011.75,66,92,77.7,83.4,71.9
2011.8333333333333,45,82,66.1,72.8,59.5
2011.9166666666667,38,74,58.4,65.2,51.7
2012.0,30,72,54.3,60.9,47.8
2012.0833333333333,28,71,50.9,58.8,42.9
2012.1666666666667,29,70,50.9,58.9,43
2012.25,38,79,60.9,68.3,53.5
2012.3333333333333,40,83,61.8,69.5,54.2
2012.4166666666667,51,84,73.1,78.8,67.4
2012.5,58,91,75.5,81.7,69.3
2012.5833333333333,72,89,82,87.4,76.6
2012.6666666666667,70,90,79.9,85.4,74.4
2012.75,57,89,75,81.3,68.6
2012.8333333333333,48,83,67,73.4,60.7
2012.9166666666667,31,74,52.3,58.8,45.8
2013.0,35,71,53.7,60.3,47
2013.0833333333333,28,71,49.3,55.7,42.9
2013.1666666666667,30,65,47.9,54.5,41.3
2013.25,34,72,49,55.5,42.5
2013.3333333333333,40,77,59.2,66.2,52.1
2013.4166666666667,51,84,68.9,75.5,62.2
2013.5,58,87,78.1,83.2,72.9
2013.5833333333333,72,90,81.3,86.7,75.9
2013.6666666666667,67,91,79.9,85.4,74.4
2013.75,52,89,74.3,81.1,67.5
2013.8333333333333,46,85,67.5,73.7,61.2
2013.9166666666667,33,77,56.6,63.2,50.1
2014.0,27,73,52.6,60.3,44.8
2014.0833333333333,13,70,44.1,53,35.2
2014.1666666666667,30,71,47.3,55.2,39.5
2014.25,27,67,48.5,56.2,40.9
2014.3333333333333,37,78,59.4,65.8,52.9
2014.4166666666667,48,85,71.2,77.4,65
2014.5,56,84,73.9,80,67.8
2014.5833333333333,61,93,79.6,85.6,73.6
2014.6666666666667,67,91,78.6,84.1,73.1
2014.75,62,87,74.3,78.9,69.7
2014.8333333333333,46,82,66.1,73,59.1
2014.9166666666667,29,72,53.5,60.6,46.3
2015.0,33,68,49.8,56.2,43.5
2015.0833333333333,18,70,46.3,53.3,39.3
2015.1666666666667,12,64,38.5,47.8,29.2
2015.25,28,74,51.3,58.5,44.2
2015.3333333333333,34,75,60.1,67.5,52.7
2015.4166666666667,41,85,67.7,75.3,60.1
2015.5,59,93,79.1,85,73.2
2015.5833333333333,69,92,80.5,86.1,74.8
2015.6666666666667,65,90,78.7,84.6,72.8
2015.75,53,89,77.1,82.7,71.4
2015.8333333333333,50,80,66.9,72.1,61.7
2015.9166666666667,39,81,61.9,68.1,55.7
2016.0,40,76,62.9,68.9,56.8
2016.0833333333333,24,68,46.5,54.3,38.8
2016.1666666666667,22,71,49.2,55.3,43.1
2016.25,37,75,59.2,65.5,53
2016.3333333333333,40,78,60,66.8,53.2
2016.4166666666667,50,86,69.1,75.1,63
2016.5,60,86,76.8,82.2,71.3
2016.5833333333333,71,91,81.6,87.2,76
2016.6666666666667,69,94,82.2,88.4,76.1
2016.75,63,89,78.5,84.3,72.7
2016.8333333333333,48,84,68.9,75.3,62.4
2016.9166666666667,35,76,57.3,64.3,50.3
