DATE,EMNT,EMXT,TAVG,TMAX,TMIN,INDEX
1997.083333,-34,41,11.4,19.9,2.9,1
1997.166667,15,44,30.6,36.1,25.1,2
1997.25,-4,39,22.5,32.3,12.8,3
1997.333333,16,58,37.2,46.3,28.1,4
1997.416667,25,72,46,56.6,35.5,5
1997.5,35,79,53.7,62.3,45,6
1997.583333,42,75,58.4,65.9,50.8,7
1997.666667,35,75,56,64.6,47.4,8
1997.75,28,66,49.8,58.6,41,9
1997.833333,-4,53,27.5,38.1,16.9,10
1997.916667,-13,46,27.2,33.5,20.9,11
1998,-19,37,15.1,24.5,5.8,12
1998.083333,-27,35,13.2,21.5,4.9,13
1998.166667,-7,41,24.5,32.8,16.2,14
1998.25,-10,51,28.5,37.8,19.3,15
1998.333333,21,58,38.2,46.1,30.3,16
1998.416667,29,66,44,51.3,36.7,17
1998.5,32,75,52.1,60,44.1,18
1998.583333,39,74,55.2,62.6,47.9,19
1998.666667,32,65,52.3,59.2,45.5,20
1998.75,28,62,47.9,55.8,39.9,21
1998.833333,15,55,36.7,45,28.3,22
1998.916667,-6,45,22.7,30,15.3,23
1999,-20,31,12.6,21.4,3.9,24
1999.083333,-26,39,9.9,18.1,1.7,25
1999.166667,-37,38,3.1,15.7,-9.5,26
1999.25,-16,46,23,32.1,14,27
1999.333333,9,53,33.7,40.9,26.6,28
1999.416667,22,68,42.1,51.5,32.8,29
1999.5,32,75,51.6,60.9,42.3,30
1999.583333,34,75,54.9,62.1,47.7,31
1999.666667,35,77,54.7,61.6,47.8,32
1999.75,20,64,47,55.5,38.6,33
1999.833333,8,50,33.2,39.8,26.7,34
1999.916667,-10,39,18.3,27,9.7,35
2000,-28,41,11.4,19.9,2.9,36
2000.083333,-30,36,8.6,17.3,-0.1,37
2000.166667,-7,39,24.3,31.7,16.9,38
2000.25,-7,42,28.2,35.1,21.3,39
2000.333333,9,54,35.4,43.9,26.9,40
2000.416667,28,63,43.8,54.2,33.3,41
2000.5,30,73,50.9,61.4,40.4,42
2000.583333,39,67,53.9,60.1,47.7,43
2000.666667,27,70,51.4,62.8,40,44
2000.75,19,62,44.6,53.9,35.3,45
2000.833333,12,55,35,42.2,27.8,46
2000.916667,7,42,28.8,34.8,22.9,47
2001,0,42,26.5,31.6,21.3,48
2001.083333,-3,41,27.3,32.7,22,49
2001.166667,-8,43,22.4,31,13.8,50
2001.25,3,46,27.6,33.9,21.3,51
2001.333333,-1,54,35.9,44.1,27.7,52
2001.416667,20,69,41.8,51.4,32.2,53
2001.5,30,77,52.9,63.3,42.5,54
2001.583333,42,69,55.4,61.6,49.3,55
2001.666667,35,74,54.8,63.8,45.8,56
2001.75,24,63,47.6,57.3,37.8,57
2001.833333,-10,60,27.4,36.2,18.6,58
2001.916667,-11,40,19.2,26.7,11.7,59
2002,-31,41,6.3,16.1,-3.6,60
2002.083333,-17,42,24.6,31.7,17.5,61
2002.166667,-19,44,22.9,30.3,15.5,62
2002.25,-9,38,19.3,31.3,7.2,63
2002.333333,-4,51,29.6,39.3,20,64
2002.416667,22,76,45.2,56.4,34,65
2002.5,30,77,51,59.9,42,66
2002.583333,36,80,55.1,64.4,45.9,67
2002.666667,33,73,53.6,62.1,45.1,68
2002.75,23,67,48.9,56.4,41.4,69
2002.833333,18,53,40.4,47.2,33.6,70
2002.916667,13,54,33.8,39.5,28.1,71
2003,-13,48,22.6,28.3,16.9,72
2003.083333,-16,41,23.4,29.6,17.2,73
2003.166667,14,44,31.4,35.6,27.1,74
2003.25,-1,44,25.6,34,17.3,75
2003.333333,10,62,37.2,47.1,27.3,76
2003.416667,26,68,44.9,55.8,34.1,77
2003.5,30,71,52.3,60.8,43.8,78
2003.583333,39,82,58.6,66.6,50.6,79
2003.666667,33,80,55.1,64.9,45.4,80
2003.75,19,64,46.6,57.9,35.3,81
2003.833333,19,63,39.8,47.4,32.3,82
2003.916667,-17,49,20.7,28.6,12.8,83
2004,-26,48,14.8,24.7,5,84
2004.083333,-31,41,4.5,14.4,-5.3,85
2004.166667,-10,45,26.5,34.1,19,86
2004.25,-6,45,22.9,31.5,14.3,87
2004.333333,-10,57,37.9,45.6,30.3,88
2004.416667,32,70,48.4,57.2,39.7,89
2004.5,34,84,54.6,63.7,45.6,90
2004.583333,40,80,58.8,68.1,49.5,91
2004.666667,30,83,58,70.1,45.9,92
2004.75,21,65,43.2,53.6,32.8,93
2004.833333,18,56,38.1,45.6,30.5,94
2004.916667,-10,43,27.7,33.7,21.6,95
2005,-10,40,21.2,28.5,13.9,96
2005.083333,-20,40,17.3,25,9.6,97
2005.166667,-20,38,18.9,28,9.8,98
2005.25,-5,47,29.8,37.3,22.4,99
2005.333333,15,69,38.4,48,28.7,100
2005.416667,29,69,47.6,57.6,37.5,101
2005.5,32,74,51.2,61,41.3,102
2005.583333,40,75,58,66.4,49.7,103
2005.666667,34,75,55.1,64.7,45.4,104
2005.75,32,64,50.3,57.3,43.4,105
2005.833333,8,55,37.5,45.5,29.6,106
2005.916667,-11,41,18.1,26.7,9.4,107
2006,-12,48,28.3,33.5,23.1,108
2006.083333,-28,38,9.1,18.2,0,109
2006.166667,-21,43,21.4,29.4,13.3,110
2006.25,-16,44,21,32.2,9.8,111
2006.333333,17,50,34.3,41.7,26.9,112
2006.416667,25,79,47,56.8,37.2,113
2006.5,34,70,53.5,62.2,44.8,114
2006.583333,37,73,57.1,64.9,49.3,115
2006.666667,35,70,53.9,61.3,46.5,116
2006.75,26,67,50.5,58.9,42.1,117
2006.833333,15,63,40.5,47,33.9,118
2006.916667,-10,39,13.4,24.6,2.3,119
2007,-15,43,21.8,29,14.5,120
2007.083333,-28,47,15,23.9,6.2,121
2007.166667,-16,52,17.8,27.8,7.8,122
2007.25,-16,45,11.4,25.1,-2.3,123
2007.333333,7,61,39.6,49.3,30,124
2007.416667,26,65,46.2,55.4,37,125
2007.5,34,76,53.3,62.1,44.5,126
2007.583333,39,71,56.9,64.1,49.8,127
2007.666667,37,75,56.8,65.7,48,128
2007.75,29,62,49.2,56.8,41.6,129
2007.833333,17,54,36.4,43.2,29.7,130
