DATE,EMNT,EMXT,TAVG,TMAX,TMIN
1997.1666666666667,49,77,62.5,69,56
1997.25,57,90,69.9,75.8,64
1997.3333333333333,48,87,70.2,76.4,64
1997.5,73,89,81.3,85.6,76.9
1997.5833333333333,64,91,83,88.8,77.1
1997.8333333333333,60,89,77.1,82.6,71.7
1997.9166666666667,39,90,69.4,76,62.8
1998.0,37,78,60.2,67.9,52.6
1998.0833333333333,43,76,64.6,72.2,57
1998.1666666666667,42,82,64.8,74.4,55.1
1998.25,57,,,,63.7
1998.3333333333333,61,82,72.9,77.6,68.2
1998.4166666666667,65,88,78.9,83.7,74
1998.5,77,96,84.2,89,79.4
1998.5833333333333,68,92,84.5,90.6,78.4
1998.8333333333333,66,90,79.7,85.5,73.9
1998.9166666666667,59,84,74.6,80.1,69.2
1999.0,36,83,67,77.1,56.9
1999.0833333333333,46,82,66.5,76.2,56.8
1999.1666666666667,53,85,70.8,76.5,65
1999.25,61,84,71.8,76.9,66.7
1999.4166666666667,67,93,80.1,85.6,74.6
1999.5,76,91,83.2,88.2,78.2
1999.5833333333333,69,90,82.6,88.3,77
1999.75,68,91,82.6,88.1,77.2
1999.8333333333333,55,89,76.3,83.6,69
1999.9166666666667,50,88,73.1,80.3,65.9
2000.0,47,80,65.1,74.2,55.9
2000.0833333333333,43,82,68.8,77.3,60.4
2000.1666666666667,44,85,68.9,77.1,60.7
2000.25,62,89,73,78,68
2000.3333333333333,64,87,76.7,82,71.4
2000.4166666666667,68,89,81.2,86.4,76.1
2000.5,73,89,82.3,87.2,77.5
2000.5833333333333,76,90,83.1,88.4,77.8
2000.6666666666667,75,90,83.5,89.3,77.6
2000.75,66,92,82.1,88.6,75.6
2000.8333333333333,51,94,78.8,84.9,72.6
2000.9166666666667,50,85,69.8,80,59.7
2001.0,38,79,60.4,70.4,50.4
2001.0833333333333,41,75,59.4,67.3,51.4
2001.1666666666667,49,78,64.1,70.9,57.2
2001.25,50,82,66.4,74.3,58.5
2001.3333333333333,57,84,75.4,80.4,70.5
2001.4166666666667,70,86,78.8,83.5,74
2001.5,74,92,82.8,88,77.5
2001.5833333333333,70,91,83.2,88.6,77.7
2001.6666666666667,69,93,84.5,90.3,78.7
2001.8333333333333,62,87,77.3,83.4,71.1
2001.9166666666667,41,84,74.1,81.1,67.1
2002.0,48,81,67.4,75.2,59.5
2002.0833333333333,39,81,64.2,72.6,55.8
2002.1666666666667,42,79,60.9,70.4,51.4
2002.25,40,82,65.9,71.8,60
2002.3333333333333,63,86,76.6,81,72.1
2002.4166666666667,67,89,80.2,85.7,74.7
2002.5,76,92,83.6,88.1,79.1
2002.5833333333333,67,91,84.5,89.3,79.8
2002.6666666666667,76,93,84.9,89.9,79.9
2002.75,72,93,82.7,88,77.4
2002.8333333333333,65,88,78.9,83.9,73.9
2002.9166666666667,,83,,74.7,
2003.0,43,79,62.7,69.5,55.9
2003.0833333333333,31,74,58.1,65.3,50.9
2003.1666666666667,37,77,56.4,65.2,47.5
2003.25,50,83,67,73.3,60.7
2003.3333333333333,55,84,73.6,77.8,69.3
2003.4166666666667,74,89,81.5,86.4,76.5
2003.5,73,91,83.6,88.6,78.7
2003.5833333333333,77,95,84.9,90,79.7
2003.6666666666667,72,92,84.1,89.4,78.9
2003.75,73,92,82.7,88.3,77.2
2003.8333333333333,51,88,77.5,82.9,72.2
2003.9166666666667,51,85,73.8,80.7,67
2004.0,44,82,62.4,71.9,53
2004.0833333333333,43,76,61.8,68.7,55
2004.1666666666667,42,74,60.7,67.3,54
2004.25,60,79,70.4,74.9,66.1
2004.4166666666667,59,88,77.6,82.5,72.8
2004.5,,90,,87.6,
2004.5833333333333,72,91,83.6,88.8,78.4
2004.6666666666667,75,92,85.2,90.5,80
2004.75,74,91,83.3,88.6,78
2004.8333333333333,65,90,81.6,86.9,76.3
2004.9166666666667,55,86,72.9,82.8,62.9
2005.0833333333333,48,77,65.5,71.7,59.3
2005.1666666666667,46,80,64.4,71.1,57.7
2005.25,52,82,67.9,76.2,59.6
2005.3333333333333,59,83,74,79,69.1
2005.4166666666667,66,87,78.1,83.6,72.6
2005.5,69,91,83.3,88.5,78.1
2005.5833333333333,80,93,85.5,89.9,81
2005.6666666666667,79,94,86.4,91.3,81.6
2005.75,72,94,85.1,90.1,80.1
2005.8333333333333,56,93,79.3,86.2,72.4
2005.9166666666667,53,84,72.3,79.2,65.5
2006.0,39,80,64.1,73.5,54.7
2006.0833333333333,50,79,64.8,73.3,56.4
2006.3333333333333,68,87,77.3,81.6,72.9
2006.4166666666667,70,90,80.9,85.6,76.2
2006.5,72,92,83.3,88.2,78.4
2006.5833333333333,74,94,84.4,89,79.8
2006.6666666666667,78,94,85.2,90,80.4
2006.75,73,94,84.1,89.7,78.5
2006.8333333333333,61,91,80.1,85.6,74.5
2006.9166666666667,54,88,74.8,80.2,69.3
2007.0833333333333,35,74,56.6,61.8,51.3
2007.1666666666667,41,80,63.6,69.9,57.4
2007.25,52,80,71.3,76.1,66.6
2007.3333333333333,45,87,72,77.5,66.5
2007.4166666666667,68,88,79.1,84.1,74.2
2007.5833333333333,73,91,82.5,87.5,77.5
2007.6666666666667,71,95,84.7,90.6,78.7
2007.75,73,94,84.5,90.4,78.6
2007.8333333333333,56,92,79.5,86,73
2007.9166666666667,47,87,72.3,77.3,67.3
2008.0,,80,,73.5,
2008.0833333333333,43,82,61.4,67.9,55
2008.1666666666667,50,79,67,72.9,61.2
2008.25,47,83,69.2,75.8,62.6
2008.3333333333333,58,88,74.4,79.8,68.9
2008.4166666666667,69,90,80,84.3,75.8
2008.5,75,94,83.2,87.6,78.7
2008.75,70,99,82.6,88.4,76.9
2008.8333333333333,64,90,79.1,84.8,73.5
2008.9166666666667,49,85,72.4,78.3,66.5
2009.0,42,81,63.9,72.6,55.3
2009.0833333333333,46,79,64.3,71.4,57.2
2009.1666666666667,51,80,69,74,64
2009.25,47,85,67.5,73.5,61.4
2009.4166666666667,,89,,85.5,
2009.5,77,92,83.6,87.9,79.3
2009.5833333333333,76,93,84.1,89,79.1
2009.8333333333333,,91,,84.8,
2009.9166666666667,,85,,77.5,
2010.0,37,77,58,64.8,51.1
2010.0833333333333,32,77,58.8,66.1,51.4
2010.1666666666667,40,76,57.4,63.5,51.3
2010.25,45,78,64.7,71.3,58.1
2010.6666666666667,,95,,91.8,
2011.0833333333333,,82,,68.6,
2012.9166666666667,61,89,74.3,80.3,68.4
2013.1666666666667,52,82,68.6,75.7,61.4
2013.25,51,84,68.5,75.2,61.9
2013.3333333333333,55,94,72.4,79.6,65.1
2013.4166666666667,54,90,77.6,83.6,71.5
2013.5833333333333,72,94,83.6,89.8,77.4
2013.6666666666667,75,94,84.8,91.4,78.2
2013.75,72,95,83.6,90,77.1
2013.8333333333333,65,92,79.8,86,73.5
2013.9166666666667,42,89,67.8,74.7,60.8
2014.0,37,83,58.6,66.7,50.5
2014.0833333333333,32,76,57.7,66.5,48.9
2014.25,38,83,63.3,71.5,55.1
2014.3333333333333,52,88,72.5,79.1,65.8
2014.5,73,91,83,88.5,77.6
2014.5833333333333,70,93,83.3,89.6,77
2014.6666666666667,74,95,85.3,91.7,78.9
2014.75,72,94,83.2,89.9,76.6
2014.8333333333333,68,92,81.6,87,76.2
2014.9166666666667,40,84,66.1,73.5,58.6
2015.0833333333333,37,79,54.4,60.3,48.5
2015.1666666666667,38,78,61.2,68.5,54
2015.25,43,82,63,69.3,56.8
2015.3333333333333,59,89,75.3,81.1,69.6
2015.4166666666667,65,91,79.6,85,74.1
2015.5,71,92,83.4,89,77.8
2015.6666666666667,74,94,84.8,91.2,78.5
2016.0,,88,,75.5,
2016.0833333333333,43,79,60.9,67.9,53.8
2016.1666666666667,52,84,68.3,75,61.6
2016.3333333333333,60,90,76.9,82.9,70.8
2016.5,67,94,83.5,89.7,77.3
2016.5833333333333,79,95,85.7,90.8,80.5
2016.6666666666667,76,96,85.9,91.7,80.1
2016.75,73,96,85.4,91.3,79.6
2016.8333333333333,69,93,82.1,88,76.1
2016.9166666666667,56,91,75,80.2,69.8
